dataset,seed,corruption_id,corruption,num_samples,sa_mean,sa_var,div_mean,div_var,dds_mean,dds_var,total_mean,total_var,sa_weighted_mean,div_weighted_mean,dds_weighted_mean,dominant_metric_by_abs_z_mean,dominant_metric_by_abs_weighted_mean
cifar100,22,0,gaussian_noise,2000,-1.256515763514093,0.17761081530262476,1.4673779302239418,0.08095742502582597,-0.46569926706430853,0.4188140380132276,-0.38613684979971347,0.05786571072766988,-0.6342223755440779,0.3633946156789733,-0.11530908993460878,DIV,SA
cifar100,22,1,partial_occlusion,2000,-0.5259810142053247,0.4374672100395957,0.9081163706913358,0.3357345053824064,-0.7467700816324941,0.5189942087159266,-0.22549658916695883,0.07572847049184898,-0.265487260889937,0.22489407310957632,-0.18490340138659814,DIV,SA
cifar100,22,2,resolution_degradation,2000,-0.9197976828143001,0.2599752799391501,1.5181103699356318,0.1072544487839647,-1.0071325205374742,0.336343728477401,-0.3376767651852033,0.0597073241808171,-0.46426498445427644,0.3759584515195959,-0.24937023225052274,DIV,SA
cifar100,22,3,fog,2000,-0.6092287894477194,0.4328553751156906,1.0843647255306132,0.4144478944713045,-0.8604217368041572,0.5622599979530359,-0.2520085462136122,0.08111772491534965,-0.30750631334124273,0.2685417945667854,-0.21304402743915485,DIV,SA
cifar100,22,4,motion_blur,2000,-0.9374364661432337,0.30528418818031694,1.4269402423389257,0.14525488216513333,-0.8711325523608829,0.4114410149154719,-0.33548391065388156,0.06666006637324529,-0.4731681048045514,0.3533802644029669,-0.2156960702522971,DIV,SA
tiny-imagenet,22,0,gaussian_noise,4000,-0.9878704514200217,0.18219773686588267,1.5292204375639558,0.07174247676695704,-0.4807313525479149,0.46412687192970786,-0.25212119007612693,0.07981656237610013,-0.3859575728067956,0.32468004517520327,-0.19084366244453452,DIV,SA
tiny-imagenet,22,1,partial_occlusion,4000,-0.6053277526285529,0.47068665245317115,1.026308689034835,0.32176504227535124,-0.8551028547554234,0.5511103571897858,-0.3580602543561066,0.0797090939913891,-0.23649946186898724,0.21790315073891867,-0.339463943226038,DIV,DDS
tiny-imagenet,22,2,resolution_degradation,4000,-0.7354435920212782,0.3636919903992277,1.284094618653413,0.2017063320428035,-0.9383434598743479,0.4535229618470966,-0.3872089982515549,0.066397198806415,-0.2873352708392294,0.27263557859439663,-0.37250930600672216,DIV,DDS
tiny-imagenet,22,3,fog,4000,-0.6537518180716652,0.35548275058591006,1.316555982262289,0.31279609976645006,-1.1007950575027954,0.44210758030246233,-0.41289121875500323,0.06634133760931336,-0.25541857695841574,0.2795276895968941,-0.4370003313934816,DIV,DDS
tiny-imagenet,22,4,motion_blur,4000,-0.7950652750120789,0.3198692434530549,1.3811323049313797,0.19340319835778336,-0.8965943580623716,0.4642777519823979,-0.3733263856239948,0.06971296503559317,-0.31062925642277195,0.29323836390284874,-0.3559354931040716,DIV,DDS
